longitude,latitude,departement,ville,adresse,code_postal,boutique_id,Responsable
-1.51815,43.49507,Pyrénées-Atlantiques,Anglet,Avenue Belle Marion,64600,1,1
-1.42988,46.66976,Vendée,La Roche-sur-Yon,15 Rue Georges Clémenceau,85000,2,1
-1.43024,46.69141,Vendée,La Roche-sur-Yon,CC Les Flaneries,85000,3,1
-1.54907,47.16152,Loire-Atlantique,Rezé,"10 rond-point Corbinerie ,CC Océane",44400,4,1
-1.46916,47.18722,Loire-Atlantique,Basse-Goulaine,CC Leclerc Pôle Sud,44115,5,1
-1.49383,47.19164,Loire-Atlantique,Saint-Sébastien-sur-Loire,CC Auchan,44230,6,1
-1.57205,47.19424,Loire-Atlantique,Rezé,"CC Leclerc Atout Sud ,1 Rue Ordronneau",44400,7,1
-1.5351,47.20456,Loire-Atlantique,Nantes,"6 Rue du Dr Zamenhoff ,CC Beaulieu",44202,8,1
-1.55925,47.21496,Loire-Atlantique,Nantes,14 Rue de la Contrescarpe,44003,9,1
-3.16566,48.56226,Côtes-d'Armor,Guingamp,CC Guingamp,22200,10,1
-1.55471,47.21563,Loire-Atlantique,Nantes,"28 Rue de la Marne ,Quartier Decré",44000,11,1
-1.63044,47.22492,Loire-Atlantique,Saint-Herblain,CC Atlantis,44800,12,1
-1.51842,47.25076,Loire-Atlantique,Nantes,"14 Route de Paris ,CC Paridis",44300,13,1
-2.26452,47.25845,Loire-Atlantique,Saint-Nazaire,CC Géant Océanis,44600,14,1
-2.21331,47.27441,Loire-Atlantique,Saint-Nazaire,2 Avenue de la République,44600,15,1
-2.39138,47.28597,Loire-Atlantique,La Baule-Escoublac,128 Avenue du Général de Gaulle,44500,16,1
-2.20884,47.30136,Loire-Atlantique,Trignac,CC Auchan,44570,17,1
-2.42696,47.32693,Loire-Atlantique,Guérande,Place du Marhallé,44350,18,1
-2.08496,47.64874,Ille-et-Vilaine,Redon,50 Grande-Rue,35600,19,1
-2.76058,47.65561,Morbihan,Vannes,15 Place de la République,56000,20,2
-2.79326,47.66015,Morbihan,Vannes,CC Carrefour,56000,21,2
-2.9868,47.6673,Morbihan,Auray,10 Rue du Maréchal Foch,56400,22,2
-2.79373,47.66736,Morbihan,Vannes,CC Leclerc,56000,23,2
-1.37718,47.71792,Loire-Atlantique,Châteaubriant,5 Place de la Motte,44110,24,2
-3.36336,47.74834,Morbihan,Lorient,13 Place Aritstide Briand,56100,25,2
-3.39713,47.76576,Morbihan,Lorient,CC Carrefour,56100,26,2
-0.36795,43.29456,Pyrénées-Atlantiques,Pau,Rue Louis Barthou,64000,27,2
-1.05382,43.70975,Landes, Vas,38 Rue des Carmes,40100,28,2
-0.58472,44.83872,Gironde,Bordeaux,CC Mériadeck,33000,29,2
-0.57845,44.84174,Gironde,Bordeaux,52 Cours de l'Intendance,33000,30,2
-0.22136,44.90157,Gironde,Libourne,"CC Carrefour ,102 Avenue Général de Gaulle",33500,31,2
-0.24219,44.91571,Gironde,Libourne,58 Rue Gambetta,33500,32,2
-1.02735,45.62466,Charente-Maritime,Royan,8 bis Boulevard de la République,17200,33,2
-0.32633,45.6942,Charente,Cognac,29 Rue d’Angoulême,16100,34,2
-0.63267,45.74576,Charente-Maritime,Saintes,22 Rue d’Alsace-Lorraine,17100,35,2
-0.96144,45.93549,Charente-Maritime,Rochefort,53 Avenue Charles de Gaulle,17300,36,2
-1.15074,46.16116,Charente-Maritime,La Rochelle,31 Rue Saint-Yon,17000,37,2
-1.11774,46.17372,Charente-Maritime,Puilboreau,"CC Carrefour ,ZA de Beaulieu",17138,38,2
-0.46229,46.32487,Deux-Sèvres,Niort,26 Rue Victor Hugo,79000,39,2
-0.8067,46.4663,Vendée,Fontenay-le-Comte,12 Rue Georges Clémenceau,85200,40,1
-0.24949,46.6481,Deux-Sèvres,Parthenay,38 Rue Jean Jaurès,79200,41,1
-0.49274,46.83925,Deux-Sèvres,Bressuire,23 Rue de la Huchette,79300,42,1
-1.01455,46.87096,Vendée,Les Herbiers,17 Rue de l’Eglise,85500,43,1
-0.90116,47.04227,Maine-et-Loire,Cholet,"CC Géant ,Route des Sables d’O.",49300,44,1
-0.87739,47.06253,Maine-et-Loire,Cholet,Place Alexis Guérineau,49300,45,1
-0.07864,47.25827,Maine-et-Loire,Saumur,35 Rue du Portail Louis,49400,46,1
-0.52473,47.46725,Maine-et-Loire,Angers,"CC Espace Anjou ,75 Rue Montaigne",49100,47,1
-0.59538,47.46833,Maine-et-Loire,Angers,CC Carrefour Grand-Maine,49000,48,1
-0.55445,47.47214,Maine-et-Loire,Angers,"CC Fleur d’Eau ,Rue Plantagenêt",49100,49,1
-0.55046,47.47277,Maine-et-Loire,Angers,10 bis Rue Lenepveu,49100,50,1
-0.54232,47.4891,Maine-et-Loire,Angers,CC Carrefour Saint-Serge,49100,51,1
-0.07385,47.69941,Sarthe,La Flèche,28 Grande-Rue,72200,52,1
-4.52669,48.38848,Finistère,Brest,CC Carrefour Iroise,29200,53,1
-4.48905,48.38817,Finistère,Brest,64 Rue de Siam,29200,54,1
-4.4877,48.38911,Finistère,Brest,95 Rue de Siam,29200,55,1
-4.48241,48.3928,Finistère,Brest,Rue Dupleix,29200,56,1
-4.48174,48.39294,Finistère,Brest,Rue Jean Jaurès,29200,57,1
-4.46627,48.4076,Finistère,Brest,"CC Géant ,29 Route Gouesnou",29200,58,1
-4.32743,48.09396,Finistère,Douarnenez,25 Rue Voltaire,29100,59,1
-4.32301,48.57334,Finistère,Lesneven,1 Rue de Jérusalem,29260,60,2
-4.24799,48.4514,Finistère,Landerneau,6 Rue de la Tour d'Auvergne,29800,61,2
-4.2216,47.865,Finistère,Pont-l'Abbé,10 Rue Jean Jacques Rousseau,29120,62,2
-4.10525,47.99623,Finistère,Quimper,46 Rue de Kéréon,29000,63,2
-4.10309,47.99614,Finistère,Quimper,26 Place Saint-Corentin,29000,64,2
-4.09288,47.97566,Finistère,Quimper,"CC Géant Cornouaille ,163 Route de Bénodet",29000,65,2
-4.08128,48.01498,Finistère,Quimper,CC Gourvily,29000,66,2
-4.07054,48.50978,Finistère,Landivisiau,CC Landivisiau,29400,67,2
