nom_boutique,adresse,ville,code_postal,departement,latitude,longitude,responsable
Free shop 64 _ 1,Avenue Belle Marion,Anglet,64600,Pyrénées-Atlantiques,43.49507,-1.51815,1
Free shop 85 _ 2,15 Rue Georges Clémenceau,La Roche-sur-Yon,85000,Vendée,46.66976,-1.42988,1
Free shop 85 _ 3,CC Les Flaneries,La Roche-sur-Yon,85000,Vendée,46.69141,-1.43024,1
Free shop 44 _ 4,"10 rond-point Corbinerie ,CC Océane",Rezé,44400,Loire-Atlantique,47.16152,-1.54907,1
Free shop 44 _ 5,CC Leclerc Pôle Sud,Basse-Goulaine,44115,Loire-Atlantique,47.18722,-1.46916,1
Free shop 44 _ 6,CC Auchan,Saint-Sébastien-sur-Loire,44230,Loire-Atlantique,47.19164,-1.49383,1
Free shop 44 _ 7,"CC Leclerc Atout Sud ,1 Rue Ordronneau",Rezé,44400,Loire-Atlantique,47.19424,-1.57205,1
Free shop 44 _ 8,"6 Rue du Dr Zamenhoff ,CC Beaulieu",Nantes,44202,Loire-Atlantique,47.20456,-1.5351,1
Free shop 44 _ 9,14 Rue de la Contrescarpe,Nantes,44003,Loire-Atlantique,47.21496,-1.55925,1
Free shop 22 _ 10,CC Guingamp,Guingamp,22200,Côtes-d'Armor,48.56226,-3.16566,1
Free shop 44 _ 11,"28 Rue de la Marne ,Quartier Decré",Nantes,44000,Loire-Atlantique,47.21563,-1.55471,1
Free shop 44 _ 12,CC Atlantis,Saint-Herblain,44800,Loire-Atlantique,47.22492,-1.63044,1
Free shop 44 _ 13,"14 Route de Paris ,CC Paridis",Nantes,44300,Loire-Atlantique,47.25076,-1.51842,1
Free shop 44 _ 14,CC Géant Océanis,Saint-Nazaire,44600,Loire-Atlantique,47.25845,-2.26452,1
Free shop 44 _ 15,2 Avenue de la République,Saint-Nazaire,44600,Loire-Atlantique,47.27441,-2.21331,1
Free shop 44 _ 16,128 Avenue du Général de Gaulle,La Baule-Escoublac,44500,Loire-Atlantique,47.28597,-2.39138,1
Free shop 44 _ 17,CC Auchan,Trignac,44570,Loire-Atlantique,47.30136,-2.20884,1
Free shop 44 _ 18,Place du Marhallé,Guérande,44350,Loire-Atlantique,47.32693,-2.42696,1
Free shop 35 _ 19,50 Grande-Rue,Redon,35600,Ille-et-Vilaine,47.64874,-2.08496,1
Free shop 56 _ 20,15 Place de la République,Vannes,56000,Morbihan,47.65561,-2.76058,3
Free shop 56 _ 21,CC Carrefour,Vannes,56000,Morbihan,47.66015,-2.79326,3
Free shop 56 _ 22,10 Rue du Maréchal Foch,Auray,56400,Morbihan,47.6673,-2.9868,3
Free shop 56 _ 23,CC Leclerc,Vannes,56000,Morbihan,47.66736,-2.79373,3
Free shop 44 _ 24,5 Place de la Motte,Châteaubriant,44110,Loire-Atlantique,47.71792,-1.37718,3
Free shop 56 _ 25,13 Place Aritstide Briand,Lorient,56100,Morbihan,47.74834,-3.36336,3
Free shop 56 _ 26,CC Carrefour,Lorient,56100,Morbihan,47.76576,-3.39713,3
Free shop 64 _ 27,Rue Louis Barthou,Pau,64000,Pyrénées-Atlantiques,43.29456,-0.36795,3
Free shop 40 _ 28,38 Rue des Carmes, Vas,40100,Landes,43.70975,-1.05382,3
Free shop 33 _ 29,CC Mériadeck,Bordeaux,33000,Gironde,44.83872,-0.58472,3
Free shop 33 _ 30,52 Cours de l'Intendance,Bordeaux,33000,Gironde,44.84174,-0.57845,3
Free shop 33 _ 31,"CC Carrefour ,102 Avenue Général de Gaulle",Libourne,33500,Gironde,44.90157,-0.22136,3
Free shop 33 _ 32,58 Rue Gambetta,Libourne,33500,Gironde,44.91571,-0.24219,3
Free shop 17 _ 33,8 bis Boulevard de la République,Royan,17200,Charente-Maritime,45.62466,-1.02735,3
Free shop 16 _ 34,29 Rue d’Angoulême,Cognac,16100,Charente,45.6942,-0.32633,3
Free shop 17 _ 35,22 Rue d’Alsace-Lorraine,Saintes,17100,Charente-Maritime,45.74576,-0.63267,3
Free shop 17 _ 36,53 Avenue Charles de Gaulle,Rochefort,17300,Charente-Maritime,45.93549,-0.96144,3
Free shop 17 _ 37,31 Rue Saint-Yon,La Rochelle,17000,Charente-Maritime,46.16116,-1.15074,3
